feature,type,weighting,n_tasks,auc,best_threshold,precision_at_best,recall_at_best,f1_at_best
AU45_c_mean,univariate,unweighted,795,0.5391186440677966,0.0783699059561128,0.6774193548387096,0.63,0.6528497409326425
AU20_r_peak,univariate,unweighted,795,0.5363016949152543,0.24,0.6541737649063032,0.768,0.7065317387304507
AU17_r_mass,univariate,unweighted,795,0.5212271186440678,1.7086666666666668,0.6793893129770993,0.356,0.4671916010498688
AU26_c_mean,univariate,unweighted,795,0.5211152542372881,0.0142857142857142,0.656188605108055,0.668,0.6620416253716551
AU10_r_mean,univariate,unweighted,795,0.519715254237288,0.5313333333333333,0.6477272727272727,0.912,0.7574750830564784
AU45_r_peak,univariate,unweighted,795,0.519013559322034,0.46,0.6493955094991365,0.752,0.6969416126042632
AU02_r_mass,univariate,unweighted,795,0.5075762711864407,0.1306666666666666,0.6544943820224719,0.466,0.544392523364486
AU02_r_peak,univariate,unweighted,795,0.5066169491525423,0.06,0.6440366972477064,0.702,0.6717703349282296
AU20_r_mean,univariate,unweighted,795,0.5056915254237287,0.0366459627329192,0.6563106796116505,0.676,0.6660098522167487
AU28_c_mean,univariate,unweighted,795,0.5034372881355932,0.0178571428571428,0.7058823529411765,0.024,0.04642166344294004
AU05_r_mass,univariate,unweighted,795,0.5013661016949152,0.008,0.6481113320079522,0.652,0.650049850448654
AU17_r_peak,univariate,unweighted,795,0.49929491525423725,1.24,0.6442953020134228,0.576,0.6082365364308341
AU05_r_peak,univariate,unweighted,795,0.498264406779661,0.08,0.6431451612903226,0.638,0.640562248995984
AU26_r_peak,univariate,unweighted,795,0.4980033898305084,0.47,0.6415620641562064,0.92,0.7559572719802794
AU15_r_mass,univariate,unweighted,795,0.49042372881355933,0.001,0.6350067842605156,0.936,0.7566693613581245
AU15_r_peak,univariate,unweighted,795,0.4868847457627119,0.01,0.6346414073071719,0.938,0.7570621468926554
AU05_c_mean,univariate,unweighted,795,0.48646779661016953,0.0048309178743961,0.6429780033840947,0.76,0.6966086159486709
AU04_r_mass,univariate,unweighted,795,0.48319999999999996,5.264333333333335,0.7142857142857143,0.11,0.19064124783362218
AU20_c_mean,univariate,unweighted,795,0.4802847457627119,inf,0.0,0.0,0.0
AU02_r_mean,univariate,unweighted,795,0.4766949152542373,0.0027941176470588,0.6415441176470589,0.698,0.6685823754789273
AU45_r_mean,univariate,unweighted,795,0.47377288135593226,0.042051282051282,0.64,0.768,0.6981818181818182
AU04_c_mean,univariate,unweighted,795,0.47085423728813564,0.0224358974358974,0.6430155210643016,0.58,0.6098843322818085
AU01_r_peak,univariate,unweighted,795,0.4666135593220339,0.01,0.6314984709480123,0.826,0.7157712305025996
AU02_c_mean,univariate,unweighted,795,0.46653898305084746,0.0021052631578947,0.648506151142355,0.738,0.6903648269410665
AU04_r_peak,univariate,unweighted,795,0.4664508474576271,3.61,0.8571428571428571,0.012,0.023668639053254437
AU05_r_mean,univariate,unweighted,795,0.4656677966101695,0.001340782122905,0.6312849162011173,0.678,0.6538090646094503
AU01_r_mass,univariate,unweighted,795,0.4634881355932204,0.0003333333333333,0.6314984709480123,0.826,0.7157712305025996
AU01_c_mean,univariate,unweighted,795,0.4553050847457627,inf,0.0,0.0,0.0
AU04_r_mean,univariate,unweighted,795,0.44729491525423726,3.180440677966102,1.0,0.004,0.00796812749003984
AU17_c_mean,univariate,unweighted,795,0.4310169491525424,0.0142180094786729,0.6319444444444444,0.728,0.6765799256505577
AU15_r_mean,univariate,unweighted,795,0.41976949152542375,0.0006976744186046,0.6348773841961853,0.932,0.7552674230145868
AU26_r_mean,univariate,unweighted,795,0.4182847457627119,0.0245652173913043,0.6391478029294274,0.96,0.7673860911270984
AU15_c_mean,univariate,unweighted,795,0.4177254237288136,inf,0.0,0.0,0.0
AU01_r_mean,univariate,unweighted,795,0.40917627118644073,0.0001219512195121,0.6319018404907976,0.824,0.7152777777777777
AU17_r_mean,univariate,unweighted,795,0.3786779661016949,0.0005,0.6301020408163265,0.988,0.7694704049844237
AU06+AU25,combo_2,weighted,795,0.7323617379955407,1.9541052631578948,0.8832599118942731,0.5160875160875161,0.6515028432168969
AU06+AU12,combo_2,weighted,795,0.7269092029655411,2.1213131313131317,0.8098159509202454,0.6795366795366795,0.7389783065080475
AU06+AU09,combo_2,weighted,795,0.7241430565374227,1.0991860465116277,0.8352059925093633,0.574002574002574,0.6803966437833715
AU12+AU25,combo_2,weighted,795,0.7126325520691718,2.1372222222222224,0.8472222222222222,0.5495495495495496,0.6666666666666666
AU09+AU12,combo_2,weighted,795,0.709795711204162,1.5446285714285717,0.8461538461538461,0.5238095238095238,0.6470588235294118
AU05+AU06,combo_2,weighted,795,0.7037721826454222,0.6417499999999998,0.7741176470588236,0.8468468468468469,0.8088506453595575
AU06+AU23,combo_2,weighted,795,0.6975655736219116,1.038643216080402,0.797191887675507,0.6576576576576577,0.7207334273624824
AU06+AU14,combo_2,weighted,795,0.6921239146591259,1.5897163120567375,0.8096676737160121,0.6898326898326899,0.7449617790132036
AU06+AU45,combo_2,weighted,795,0.6822846991861076,1.0392528735632183,0.7975460122699386,0.6692406692406693,0.72778166550035
AU09+AU25,combo_2,weighted,795,0.6727210107491797,0.9294594594594593,0.8254620123203286,0.5173745173745173,0.6360759493670886
AU02+AU06,combo_2,weighted,795,0.6709880907064005,0.7914285714285714,0.7654921020656136,0.8108108108108109,0.7875000000000001
AU12+AU23,combo_2,weighted,795,0.6690720901988507,1.2886153846153845,0.7721854304635761,0.7503217503217503,0.7610966057441254
AU06+AU20,combo_2,weighted,795,0.6690322112857324,0.7512307692307691,0.7686658506731946,0.8082368082368082,0.7879548306148055
AU07+AU12,combo_2,weighted,795,0.6676654521724945,1.5538356164383562,0.7664596273291926,0.7940797940797941,0.7800252844500631
AU14+AU25,combo_2,weighted,795,0.6646980985009154,1.5341666666666667,0.8080133555926544,0.6229086229086229,0.7034883720930232
AU06+AU07,combo_2,weighted,795,0.662936175612232,2.456315789473684,0.85,0.37194337194337196,0.5174574753804835
AU05+AU12,combo_2,weighted,795,0.6624956948900612,1.2593617021276597,0.7870778267254038,0.6898326898326899,0.7352537722908093
AU23+AU25,combo_2,weighted,795,0.6611796907571555,0.8147692307692307,0.783625730994152,0.6898326898326899,0.7337440109514033
AU12+AU14,combo_2,weighted,795,0.6590497942610618,2.044861111111111,0.7897623400365631,0.555984555984556,0.6525679758308156
AU06+AU15,combo_2,weighted,795,0.6547211195098519,0.941864406779661,0.7760115606936416,0.6911196911196911,0.7311095983662356
AU06+AU10,combo_2,weighted,795,0.6518099588522124,1.6276190476190475,0.7559863169897377,0.8532818532818532,0.8016928657799274
AU07+AU25,combo_2,weighted,795,0.6449870393532365,1.2510714285714286,0.7657142857142857,0.6898326898326899,0.7257955314827352
AU12+AU20,combo_2,weighted,795,0.643888556564613,1.3519587628865979,0.7752808988764045,0.7104247104247104,0.7414372061786434
AU01+AU06,combo_2,weighted,795,0.6373321007123824,0.9267415730337076,0.7552356020942408,0.7425997425997426,0.7488643737832577
AU05+AU25,combo_2,weighted,795,0.6355121721318905,0.766701030927835,0.7892918825561313,0.5881595881595881,0.6740412979351031
AU10+AU12,combo_2,weighted,795,0.6354378523392608,2.05,0.7611386138613861,0.7915057915057915,0.77602523659306
AU20+AU25,combo_2,weighted,795,0.6313847046241412,0.8627692307692306,0.7890365448504983,0.6113256113256114,0.6889050036258159
AU12+AU45,combo_2,weighted,795,0.6275291387967445,1.2060714285714285,0.7580645161290323,0.7863577863577863,0.7719519898926088
AU07+AU14,combo_2,weighted,795,0.6274892598836261,1.6141071428571427,0.7698961937716263,0.5727155727155727,0.6568265682656826
AU02+AU12,combo_2,weighted,795,0.6274765711385428,1.373939393939394,0.776416539050536,0.6525096525096525,0.7090909090909091
AU06+AU26,combo_2,weighted,795,0.6273569343991879,1.0717857142857143,0.7540777917189461,0.7734877734877735,0.7636594663278271
AU12+AU15,combo_2,weighted,795,0.6230010694799427,1.3648387096774195,0.7588652482269503,0.6885456885456885,0.7219973009446694
AU09+AU14,combo_2,weighted,795,0.6207170953649825,0.9220098039215686,0.7823639774859287,0.5366795366795367,0.6366412213740458
AU07+AU09,combo_2,weighted,795,0.6199231424583537,0.8947540983606557,0.7706093189964157,0.5534105534105535,0.6441947565543071
AU10+AU25,combo_2,weighted,795,0.6143745355012961,1.5776595744680848,0.7361111111111112,0.8185328185328186,0.7751371115173675
AU07+AU10,combo_2,weighted,795,0.6124132180470209,1.4214084507042246,0.732662192393736,0.842985842985843,0.7839616995810892
AU04+AU06,combo_2,weighted,795,0.611278481701017,1.1610370370370369,0.7615262321144675,0.6164736164736164,0.6813655761024182
AU15+AU25,combo_2,weighted,795,0.6111479688944479,0.8237931034482758,0.7709677419354839,0.6151866151866152,0.6843235504652828
AU09+AU23,combo_2,weighted,795,0.6082658110827124,0.1063802083333333,0.7396088019559902,0.7786357786357786,0.7586206896551725
