video_id,n_frames,duration_s,AU01_r_mean,AU01_r_std,AU02_r_mean,AU02_r_std,AU04_r_mean,AU04_r_std,AU05_r_mean,AU05_r_std,AU06_r_mean,AU06_r_std,AU07_r_mean,AU07_r_std,AU09_r_mean,AU09_r_std,AU10_r_mean,AU10_r_std,AU12_r_mean,AU12_r_std,AU14_r_mean,AU14_r_std,AU15_r_mean,AU15_r_std,AU17_r_mean,AU17_r_std,AU20_r_mean,AU20_r_std,AU23_r_mean,AU23_r_std,AU25_r_mean,AU25_r_std,AU26_r_mean,AU26_r_std,AU45_r_mean,AU45_r_std
21786.4,51280,1711.0,0.434096,0.752046,0.171618,0.413074,0.61613,0.646652,0.072513,0.20189,0.633433,0.430147,0.632748,0.509722,0.10682,0.227934,0.648691,0.415787,0.36051,0.408019,0.053767,0.184605,0.183699,0.287821,0.74903,0.671426,0.150549,0.289176,0.184509,0.3617,0.620644,0.640858,0.704495,0.703884,0.191426,0.346923
21786.5,51532,1719.4,0.327906,0.606907,0.160847,0.396808,0.68857,0.635874,0.071134,0.185382,0.705889,0.428531,0.666485,0.555207,0.103998,0.219874,0.749171,0.435565,0.336443,0.392205,0.072316,0.221145,0.186799,0.312125,0.712264,0.641682,0.162879,0.305728,0.17907,0.339237,0.595524,0.616283,0.711066,0.715454,0.20906,0.362722
21786.6,52048,1736.6,0.453224,0.758782,0.167661,0.399879,0.557762,0.575521,0.071438,0.18796,0.561804,0.431407,0.486389,0.486876,0.116088,0.250227,0.652549,0.423634,0.347496,0.418286,0.068014,0.201191,0.184715,0.322753,0.703852,0.615515,0.150803,0.295608,0.168102,0.320481,0.652419,0.67131,0.701271,0.716693,0.186709,0.339993
21786.7,52004,1735.2,0.467239,0.770325,0.170222,0.403159,0.512022,0.562748,0.079286,0.208914,0.687484,0.475359,0.542919,0.5007,0.115421,0.241248,0.741544,0.468914,0.429338,0.47203,0.082954,0.215568,0.19136,0.331667,0.688992,0.607308,0.159287,0.300993,0.188617,0.370417,0.655546,0.673495,0.774623,0.794297,0.206914,0.357428
21786.8,52520,1752.4,0.503732,0.842685,0.190137,0.446364,0.625777,0.610959,0.084971,0.226756,0.576221,0.424336,0.403812,0.466683,0.119631,0.248378,0.786033,0.478905,0.389824,0.405953,0.075997,0.205427,0.222211,0.43637,0.781404,0.704252,0.174175,0.344564,0.17949,0.334403,0.606948,0.62168,0.714667,0.728335,0.212386,0.363251
21786.9,48420,1615.6,0.414846,0.735771,0.176685,0.413826,0.573244,0.574416,0.073653,0.205527,0.779284,0.490257,0.730701,0.572056,0.111335,0.234992,0.812266,0.478327,0.541191,0.475907,0.170409,0.326842,0.185101,0.307409,0.687637,0.628417,0.146741,0.276351,0.175923,0.322629,0.613107,0.624725,0.663153,0.693949,0.204049,0.35668
21788.1,50966,1700.5,0.264678,0.423875,0.103228,0.2346,0.257519,0.323438,0.077061,0.201479,0.508274,0.394457,0.037742,0.168396,0.093298,0.201188,0.986769,0.630567,0.555543,0.403569,0.088238,0.263651,0.186308,0.322802,0.708916,0.711137,0.130782,0.254197,0.163014,0.345548,0.518544,0.547443,0.502873,0.578022,0.191737,0.334654
21788.2,49976,1667.5,0.296009,0.449645,0.118774,0.269112,0.271862,0.32428,0.090996,0.237845,0.608264,0.410556,0.069916,0.241781,0.097406,0.201701,1.08284,0.665699,0.658042,0.442892,0.13078,0.331856,0.187895,0.329022,0.758375,0.739708,0.135018,0.280816,0.179562,0.368218,0.579236,0.609643,0.559564,0.639014,0.191577,0.329067
21788.3,51572,1720.8,0.31034,0.470868,0.125589,0.290934,0.309958,0.366686,0.081089,0.21092,0.632216,0.4046,0.055852,0.192606,0.096684,0.204174,1.372251,0.685106,0.588734,0.435573,0.130828,0.325695,0.201081,0.347957,0.820884,0.769043,0.127283,0.236122,0.181407,0.364683,0.682129,0.696813,0.624736,0.699351,0.197524,0.335081
21788.4,53578,1787.7,0.340472,0.538592,0.129642,0.308022,0.47922,0.426785,0.089121,0.234218,0.573017,0.414911,0.067233,0.206635,0.096225,0.199864,1.259426,0.651672,0.484279,0.44196,0.237678,0.431281,0.194938,0.324712,1.061451,1.003536,0.133111,0.246935,0.190123,0.382879,0.558231,0.59764,0.713325,0.794294,0.199109,0.328033
21788.5,52001,1735.1,0.312637,0.468641,0.129471,0.300801,0.510545,0.502967,0.079106,0.19896,0.606103,0.402273,0.071437,0.208563,0.103743,0.219809,1.443826,0.63786,0.635581,0.480479,0.208616,0.388765,0.17105,0.301005,0.924176,0.889,0.127782,0.244055,0.172135,0.345626,0.636893,0.636822,0.669392,0.747703,0.228297,0.379643
