intensity,merge_dist,min_dur,total_events,total_core_sec,n_videos_with_events,events_per_video_mean,events_per_video_median,events_per_video_p25,events_per_video_p75,events_per_video_max,core_sec_per_video_mean,core_sec_per_video_median,n_subjects,events_per_subject_mean,events_per_subject_median,core_sec_per_subject_mean
1.2,3.0,1.5,60268,509805.44999999995,3309,15.078308731548661,7.0,1.0,23.0,92,127.54702276707529,27.600000000000364,978,61.623721881390594,30.0,521.2734662576687
1.2,3.0,2.0,51838,495328.374,3165,12.969226920190142,6.0,1.0,19.0,85,123.92503727795847,25.132999999999875,978,53.0040899795501,24.0,506.4707300613497
1.5,0.0,0.0,43107,194220.50300000003,3016,10.784838628971729,3.0,1.0,13.0,181,48.59156942707031,7.766000000000048,978,44.076687116564415,16.0,198.58947137014317
1.5,0.0,0.3,43107,194220.50300000003,3016,10.784838628971729,3.0,1.0,13.0,181,48.59156942707031,7.766000000000048,978,44.076687116564415,16.0,198.58947137014317
1.5,0.0,0.5,43106,194220.00300000003,3016,10.784588441330998,3.0,1.0,13.0,181,48.591444333249946,7.766000000000048,978,44.07566462167689,16.0,198.5889601226994
1.5,0.0,1.0,36874,189605.536,2807,9.225419064298224,3.0,0.0,11.0,155,47.43696172129096,6.966999999999956,978,37.70347648261759,12.0,193.870691206544
1.5,0.0,1.5,30633,181941.50300000003,2643,7.663997998498874,2.0,0.0,9.0,132,45.519515386539915,5.833000000000027,978,31.322085889570552,10.0,186.0342566462168
1.5,0.0,2.0,25586,173243.087,2446,6.4013009757317985,1.0,0.0,7.0,108,43.34327920940706,4.7999999999999545,978,26.16155419222904,7.0,177.14017075664623
1.5,0.25,0.0,41580,194464.646,3016,10.402802101576182,3.0,1.0,13.0,169,48.652650988241184,7.766000000000048,978,42.515337423312886,15.0,198.83910633946832
1.5,0.25,0.3,41580,194464.646,3016,10.402802101576182,3.0,1.0,13.0,169,48.652650988241184,7.766000000000048,978,42.515337423312886,15.0,198.83910633946832
1.5,0.25,0.5,41579,194464.146,3016,10.40255191393545,3.0,1.0,13.0,169,48.65252589442082,7.766000000000048,978,42.51431492842536,15.0,198.83859509202455
1.5,0.25,1.0,35571,190024.008,2808,8.89942456842632,3.0,0.0,10.0,147,47.54165824368276,7.000000000000114,978,36.37116564417178,12.0,194.2985766871166
1.5,0.25,1.5,29613,182707.802,2645,7.408806604953715,2.0,0.0,8.0,128,45.711233925444084,5.833000000000027,978,30.279141104294478,9.5,186.81779345603272
1.5,0.25,2.0,24838,174478.887,2447,6.214160620465349,1.0,0.0,7.0,98,43.65246109582186,4.83299999999997,978,25.39672801635992,7.0,178.4037699386503
1.5,0.5,0.0,39195,195350.46600000001,3016,9.806104578433825,3.0,1.0,12.0,152,48.874272204153115,7.76600000000019,978,40.076687116564415,15.0,199.74485276073622
